Actual_Trend,Predicted_Trend,Values
-1,-1,34584
-1,1,33970
-1,-1,33919
1,1,34258
1,-1,34764
1,1,34798
1,-1,34869
-1,1,34299
1,-1,34390
-1,1,33843
1,-1,34326
-1,1,34002
1,1,34314
1,-1,34416
1,1,34754
-1,-1,34746
-1,-1,34496
-1,-1,34378
-1,-1,34377
1,1,34912
1,-1,35294
-1,1,35258
1,-1,35457
1,1,35609
-1,-1,35603
1,-1,35677
1,1,35741
1,-1,35756
-1,1,35490
1,-1,35730
1,1,35819
1,-1,35913
1,1,36052
1,1,36157
-1,1,36124
1,-1,36327
1,1,36432
-1,-1,36319
-1,-1,36079
-1,-1,35921
1,1,36100
-1,-1,36087
1,1,36142
-1,-1,35931
-1,1,35870
-1,-1,35601
1,1,35619
1,-1,35813
-1,1,35804
-1,-1,34899
1,-1,35135
-1,1,34483
-1,-1,34022
1,1,34639
-1,1,34580
1,-1,35227
1,1,35719
1,-1,35754
-1,1,35754
1,-1,35970
-1,1,35650
-1,-1,35544
1,-1,35927
-1,1,35897
-1,-1,35365
-1,1,34932
1,1,35492
1,-1,35753
1,1,35950
1,-1,36302
1,1,36398
1,1,36488
-1,-1,36398
-1,-1,36338
1,-1,36585
1,1,36799
-1,-1,36407
-1,-1,36236
-1,1,36231
-1,-1,36068
1,1,36252
1,-1,36290
-1,1,36113
-1,-1,35911
-1,1,35368
-1,-1,35028
-1,-1,34715
-1,-1,34265
1,1,34364
-1,1,34297
-1,1,34168
-1,-1,34160
1,1,34725
1,-1,35131
1,1,35405
1,-1,35629
-1,1,35111
-1,-1,35089
1,-1,35091
1,1,35462
1,-1,35768
-1,1,35241
-1,-1,34738
-1,-1,34566
1,1,34988
-1,-1,34934
-1,1,34312
-1,-1,34079
-1,1,33596
-1,1,33131
1,1,33223
1,-1,34058
-1,1,33892
-1,-1,33294
1,-1,33891
-1,1,33794
-1,-1,33614
-1,1,32817
-1,-1,32632
1,-1,33286
-1,1,33174
-1,-1,32944
1,-1,32945
1,1,33544
1,-1,34063
1,1,34480
1,1,34754
-1,1,34552
1,-1,34807
-1,1,34358
1,-1,34707
1,1,34861
1,-1,34955
1,1,35294
-1,-1,35228
-1,-1,34678
1,-1,34818
1,1,34921
-1,-1,34641
-1,1,34496
1,1,34583
1,-1,34721
-1,1,34308
-1,-1,34220
1,-1,34564
-1,1,34451
-1,-1,34411
1,1,34911
1,-1,35160
-1,1,34792
-1,-1,33811
1,-1,34049
-1,1,33240
1,-1,33301
